x,T,CH4,O2,H2O,CO,CO2,N2
0.005668896,601.8050658,0.516855469,0,0.021257964,0.032679398,0.085780227,0.343426942
0.005702341,600.4618242,0.520903885,0,0.021246695,0.031554157,0.085616833,0.34067843
0.005735786,599.10621,0.524948049,0,0.021236855,0.030446045,0.085438238,0.337930813
0.005769231,597.737917,0.528987889,0,0.021228506,0.029355411,0.085244091,0.335184104
0.005802676,596.3566351,0.533023333,0,0.02122171,0.0282826,0.085034045,0.332438312
0.00583612,594.9620584,0.537054311,0,0.021216528,0.027227958,0.084807753,0.32969345
0.005869565,593.5538676,0.54108075,0,0.021213022,0.026191835,0.084564866,0.326949526
0.00590301,592.1317525,0.545102578,0,0.021211252,0.025174577,0.08430504,0.324206554
0.005936455,590.6953982,0.549119728,0,0.021211278,0.024176515,0.084027937,0.321464542
0.0059699,589.2444946,0.553132122,0,0.021213155,0.023198004,0.083733216,0.318723504
0.006003344,587.7787357,0.557139691,0,0.021216938,0.022239373,0.083420548,0.315983451
0.006036789,586.2978024,0.561142367,0,0.021222681,0.021300942,0.083089617,0.313244393
0.006070234,584.8014019,0.565140075,0,0.021230428,0.020383048,0.082740104,0.310506345
0.006103679,583.2892285,0.569132748,0,0.021240226,0.019485994,0.082371715,0.307769317
0.006137124,581.7609896,0.573120316,0,0.021252112,0.018610082,0.081984166,0.305033324
0.006170569,580.216397,0.577102712,0,0.021266119,0.017755603,0.081577188,0.302298378
0.006204013,578.6551761,0.58107987,0,0.021282275,0.016922826,0.081150536,0.299564493
0.006237458,577.0770471,0.585051728,0,0.0213006,0.016112003,0.080703987,0.296831682
0.006270903,575.4817532,0.589018222,0,0.021321107,0.015323372,0.080237341,0.294099958
0.006304348,573.8690508,0.592979293,0,0.021343796,0.014557147,0.079750426,0.291369339
0.006337793,572.2387046,0.596934879,0,0.021368658,0.013813524,0.079243101,0.288639839
0.006371237,570.5904884,0.60088493,0,0.021395679,0.013092657,0.078715261,0.285911473
0.006404682,568.9242033,0.604829392,0,0.021424826,0.012394686,0.078166838,0.283184259
0.006438127,567.2396537,0.608768216,0,0.021456058,0.011719711,0.077597802,0.280458213
0.006471572,565.5366757,0.612701358,0,0.021489319,0.011067804,0.077008166,0.277733353
0.006505017,563.8151189,0.616628773,0,0.021524534,0.010439004,0.07639799,0.275009699
0.006538462,562.0748496,0.620550423,0,0.021561619,0.009833308,0.07576738,0.27228727
0.006571906,560.3157624,0.624466275,0,0.02160047,0.009250673,0.075116494,0.269566086
0.006605351,558.5377632,0.628376299,0,0.02164097,0.008691019,0.074445543,0.266846169
0.006638796,556.740795,0.632280466,0,0.021682978,0.008154224,0.07375479,0.264127542
0.006672241,554.9248089,0.636178754,0,0.02172634,0.007640125,0.073044554,0.261410227
0.006705686,553.0897869,0.640071145,0,0.021770883,0.007148511,0.072315212,0.258694249
0.00673913,551.2357341,0.643957625,0,0.021816411,0.006679133,0.071567196,0.255979635
0.006772575,549.3626718,0.647838182,0,0.021862716,0.006231697,0.070800995,0.25326641
0.00680602,547.4706493,0.651712809,0,0.021909566,0.005805866,0.070017155,0.250554604
0.006839465,545.5597331,0.655581506,0,0.021956716,0.005401259,0.069216275,0.247844244
0.00687291,543.6300118,0.65944427,0,0.022003895,0.005017463,0.068399011,0.245135361
0.006906355,541.6815914,0.663301108,0,0.022050823,0.004654017,0.067566065,0.242427987
0.006939799,539.7145921,0.667152024,0,0.022097199,0.004310431,0.066718192,0.239722153
0.006973244,537.7291556,0.670997028,0,0.022142707,0.003986179,0.065856191,0.237017895
0.007006689,535.7254326,0.674836133,0,0.02218702,0.003680703,0.064980899,0.234315245
0.007040134,533.7035826,0.678669353,0,0.022229795,0.003393419,0.064093193,0.231614239
0.007073579,531.6637876,0.682496702,0,0.022270676,0.003123721,0.063193987,0.228914915
0.007107023,529.6062247,0.686318198,0,0.022309301,0.002870978,0.062284215,0.226217308
0.007140468,527.5310756,0.69013386,0,0.022345297,0.002634545,0.061364841,0.223521457
0.007173913,525.4385355,0.693943705,0,0.022378285,0.002413765,0.060436845,0.2208274
0.007207358,523.3287951,0.697747756,0,0.022407883,0.002207968,0.059501218,0.218135175
